iter	Passed	Remaining
589	35551	24705
590	35628	24656
591	35701	24605
592	35765	24547
593	35824	24486
594	35900	24436
595	35962	24377
596	36025	24318
597	36096	24265
598	36157	24205
599	36217	24145
600	36272	24080
601	36334	24021
602	36399	23964
603	36463	23906
604	36532	23851
605	36594	23792
606	36655	23732
607	36709	23667
608	36771	23608
609	36838	23552
610	36904	23495
611	36967	23436
612	37024	23374
613	37096	23321
614	37169	23268
615	37228	23207
616	37283	23143
617	37342	23082
618	37398	23018
619	37446	22951
620	37499	22886
621	37558	22824
622	37615	22762
623	37696	22714
624	37762	22657
625	37822	22596
626	37871	22529
627	37928	22467
628	37978	22400
629	38030	22335
630	38084	22271
631	38131	22203
632	38186	22139
633	38240	22075
634	38288	22008
635	38337	21941
636	38388	21875
637	38436	21808
638	38485	21742
639	38534	21675
640	38581	21608
641	38634	21543
642	38688	21480
643	38732	21411
644	38779	21343
645	38828	21277
646	38875	21210
647	38920	21142
648	38965	21073
649	39013	21007
650	39065	20943
651	39123	20881
652	39176	20818
653	39232	20756
654	39281	20690
655	39335	20627
656	39385	20561
657	39431	20494
658	39484	20431
659	39531	20364
660	39581	20299
661	39630	20234
662	39674	20166
663	39721	20100
664	39765	20032
665	39816	19967
666	39870	19905
667	39922	19841
668	39973	19777
669	40019	19711
670	40068	19646
671	40121	19583
672	40171	19518
673	40217	19452
674	40265	19387
675	40309	19320
676	40355	19253
677	40406	19190
678	40457	19126
679	40506	19061
680	40561	19000
681	40612	18936
682	40660	18871
683	40710	18807
684	40758	18742
685	40806	18678
686	40852	18612
687	40903	18549
688	40954	18485
689	41002	18421
690	41048	18356
691	41091	18289
692	41143	18226
693	41195	18164
694	41240	18098
695	41288	18034
696	41335	17969
697	41380	17903
698	41510	17875
699	41567	17814
700	41619	17752
701	41670	17689
702	41721	17626
703	41766	17561
704	41812	17495
705	41858	17431
706	41909	17368
707	41966	17308
708	42016	17245
709	42067	17182
710	42112	17117
711	42163	17054
712	42212	16991
713	42265	16930
714	42315	16866
715	42362	16802
716	42410	16739
717	42453	16673
718	42500	16609
719	42548	16546
720	42595	16482
721	42644	16419
722	42692	16356
723	42744	16294
724	42795	16232
725	42842	16169
726	42885	16104
727	42933	16041
728	42982	15978
729	43032	15916
730	43080	15853
731	43128	15790
732	43180	15728
733	43228	15665
734	43276	15602
735	43324	15540
736	43371	15477
737	43419	15414
738	43473	15353
739	43522	15291
740	43568	15228
741	43617	15166
742	43667	15104
743	43714	15041
744	43760	14978
745	43806	14915
746	43852	14852
747	43904	14791
748	43952	14729
749	44008	14669
750	44061	14609
751	44130	14553
752	44212	14502
753	44262	14441
754	44317	14381
755	44371	14320
756	44426	14261
757	44484	14202
758	44548	14145
759	44602	14084
760	44657	14025
761	44708	13963
762	44759	13903
763	44807	13841
764	44860	13780
765	44911	13719
766	44960	13658
767	45013	13597
768	45069	13538
769	45116	13476
770	45163	13414
771	45217	13354
772	45272	13294
773	45324	13234
774	45375	13173
775	45432	13114
776	45482	13053
777	45529	12991
778	45578	12930
779	45627	12869
780	45673	12807
781	45719	12745
782	45765	12683
783	45811	12621
784	45861	12560
785	45915	12501
786	45961	12439
787	46005	12377
788	46052	12315
789	46102	12255
790	46159	12196
791	46212	12136
792	46258	12075
793	46309	12014
794	46360	11954
795	46411	11894
796	46461	11834
797	46507	11772
798	46557	11712
799	46604	11651
800	46651	11590
801	46698	11528
802	46748	11468
803	46798	11408
804	46845	11347
805	46894	11287
806	46941	11226
807	46991	11166
808	47040	11105
809	47086	11045
810	47133	10984
811	47185	10924
812	47231	10863
813	47280	10803
814	47324	10742
815	47374	10682
816	47421	10621
817	47469	10561
818	47517	10501
819	47566	10441
820	47611	10380
821	47666	10321
822	47715	10262
823	47764	10202
824	47812	10142
825	47858	10081
826	47905	10021
827	47948	9960
828	47994	9900
829	48039	9839
830	48086	9779
831	48139	9720
832	48188	9660
833	48241	9601
834	48297	9543
835	48356	9486
836	48402	9426
837	48452	9366
838	48499	9306
839	48547	9247
840	48602	9188
841	48664	9131
842	48720	9073
843	48777	9015
844	48826	8956
845	48876	8897
846	48931	8838
847	48979	8779
848	49033	8720
849	49092	8663
850	49149	8605
851	49207	8547
852	49274	8491
853	49330	8433
854	49381	8374
855	49433	8315
856	49487	8257
857	49539	8198
858	49588	8139
859	49640	8081
860	49688	8021
861	49740	7963
862	49792	7904
863	49852	7847
864	49903	7788
865	49954	7729
866	50001	7670
867	50052	7611
868	50103	7553
869	50157	7494
870	50214	7437
871	50275	7379
872	50333	7322
873	50396	7265
874	50466	7209
875	50533	7153
876	50587	7094
877	50645	7037
878	50700	6979
879	50751	6920
880	50804	6862
881	50853	6803
882	50909	6745
883	50963	6687
884	51011	6628
885	51059	6569
886	51111	6511
887	51161	6452
888	51205	6393
889	51258	6335
890	51311	6277
891	51371	6219
892	51428	6162
893	51483	6104
894	51545	6047
895	51610	5990
896	51665	5932
897	51718	5874
898	51775	5816
899	51832	5759
900	51891	5701
901	51950	5644
902	52002	5586
903	52051	5527
904	52108	5469
905	52167	5412
906	52222	5354
907	52282	5297
908	52330	5238
909	52386	5181
910	52437	5122
911	52492	5065
912	52552	5007
913	52631	4952
914	52815	4906
915	52868	4848
916	52920	4789
917	52964	4731
918	53016	4672
919	53076	4615
920	53135	4557
921	53188	4499
922	53239	4441
923	53287	4382
924	53337	4324
925	53387	4266
926	53437	4208
927	53492	4150
928	53547	4092
929	53613	4035
930	53673	3977
931	53727	3920
932	53779	3861
933	53829	3803
934	53875	3745
935	53922	3687
936	53968	3628
937	54015	3570
938	54061	3511
939	54110	3453
940	54160	3395
941	54204	3337
942	54248	3279
943	54293	3220
944	54338	3162
945	54385	3104
946	54430	3046
947	54475	2988
948	54520	2929
949	54566	2871
950	54609	2813
951	54656	2755
952	54706	2698
953	54756	2640
954	54804	2582
955	54854	2524
956	54909	2467
957	54973	2410
958	55028	2352
959	55084	2295
960	55136	2237
961	55184	2179
962	55243	2122
963	55304	2065
964	55358	2007
965	55405	1950
966	55452	1892
967	55498	1834
968	55542	1776
969	55588	1719
970	55632	1661
971	55674	1603
972	55720	1546
973	55764	1488
974	55812	1431
975	55857	1373
976	55900	1315
977	55947	1258
978	55994	1201
979	56040	1143
980	56085	1086
981	56127	1028
982	56171	971
983	56217	914
984	56266	856
985	56323	799
986	56382	742
987	56434	685
988	56486	628
989	56531	571
990	56574	513
991	56619	456
992	56664	399
993	56712	342
994	56771	285
995	56840	228
996	56897	171
997	56952	114
998	57007	57
999	57061	0
